Region,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Rest of Global South,0.030857350168292032,0.029279236793007403,0.02813203775114231,0.026433265745605262,0.02642010667710571,0.027042219481857144,0.027903298789981146,0.028793641570157746,0.03018769149490029,0.030204734207026292,0.030768228916977683,0.0319555495395187,0.033575754762429535,0.034635923031702064,0.035448751139990804,0.0364219547220984,0.03705535512691166,0.03759012909121018,0.0377940683411775,0.03802969339352605,0.038573808916201706,0.03944450732227519,0.04017985121096248,0.04129405604142842,0.04245324825802533,0.04373737563277002,0.04473123437096958,0.045548052868760396,0.04619003124216396,0.046215334942967395,0.046992386120554286,0.04736159442030601,0.047764206527822005,0.04837960094284659,0.049328821959228414,0.050593823052620925,0.05233688484717505,0.05462433208743148,0.057083718706315525,0.05938199512641329,0.06220306823912192,0.0651545195150621,0.06777366121306053,0.07038800465889176,0.07281924704674045,0.07521608064340281,0.077572089578187,0.07988289129475397
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007187896110592962,0.001900313015894473,0.004975279383693054,0.009245319628650927,0.014126755516389103,0.020355421415390963,0.027711559000540602,0.0363399692278253,0.04831972109468447,0.0616381486174894,0.07575741135089818,0.08953918221790527,0.10344611835075343,0.11652969278938353,0.12898863022235624,0.1410242063742061,0.15262478945178867
Rest of Europe and HICs,0.2543369936214608,0.25545178823672243,0.25798875307024954,0.2639631554509992,0.26706563415266,0.26909362055571834,0.27171528393994726,0.27431044370842333,0.27687826072252864,0.2791049203730306,0.28250815342209973,0.28522132361012825,0.2881345015958569,0.29135681498215166,0.29341161029123525,0.2941664410279381,0.2951757487096366,0.29598976283396045,0.2969984844540687,0.2981339719649228,0.2991581439802546,0.300030135204617,0.3012648888960207,0.3026504637849368,0.30380516888420844,0.30486061155080213,0.30572348793200127,0.305977098537401,0.304624464874555,0.3034462707888733,0.30258240131359954,0.3013792787921512,0.29964217307030533,0.29737251970719836,0.29438492782398173,0.2910263238887907,0.28718163509528816,0.28334259825564706,0.2795129837241252,0.2753674675578908,0.27063636240722133,0.2662608577068653,0.26191732626029196,0.2576150882028976,0.25347478440249294,0.2495617625921637,0.24583070453336095,0.24227756198091657
UK+EU,0.3742623355700774,0.3744888410753319,0.3738415961469439,0.3715508523024489,0.36999433470080983,0.37038576813646695,0.36972999247594357,0.36710513785285553,0.36348275040299743,0.36129816265021486,0.36100327957193745,0.35941185061148767,0.35864948411984204,0.35767014984254347,0.3555808042846379,0.35351798372243665,0.3518484383909861,0.3499426567632866,0.34842864208412017,0.34732240578269585,0.34542933223594136,0.3437368163566173,0.34123792750082255,0.33833173774573666,0.3348429588602451,0.3317505481938428,0.32834872729585884,0.32479904853847075,0.3222664267403237,0.320375791730223,0.31831793814925935,0.31639223925208165,0.31501433300496656,0.3134985896411004,0.31162063131988876,0.3093492739897101,0.30675004843935205,0.3041041521921975,0.30120098222582525,0.29716033989131596,0.2920170531304717,0.28608034963831475,0.2804021086596211,0.27460679953450784,0.26921290896426414,0.2641093750571194,0.2591973204779076,0.2544787126049294
USA,0.3405433206401698,0.3407801338949382,0.34003761303166424,0.33805272650094664,0.33651992446942447,0.3334783918259575,0.330651424794128,0.3297907768685634,0.3294512973795736,0.32939218276972826,0.32572033808898515,0.3234112762388654,0.31964025952187153,0.31633711214360277,0.31555883428413606,0.3158936205275269,0.31592045777246563,0.3164774513115428,0.31677880512063367,0.3165139288588553,0.3168387148676023,0.3167885411164905,0.3173173323921943,0.31772374242789814,0.3188986239975211,0.31965146462258504,0.3211965504011703,0.32367580005536783,0.32691907714295737,0.3299626025379363,0.33210727441658683,0.33414809792440187,0.33567897438101163,0.3357740103251616,0.3354202992682502,0.33490382355248915,0.3333760102027938,0.3302173584641834,0.3258623461159087,0.3197704763296954,0.31350536760569564,0.3067468617888597,0.3003677216491211,0.29394398925294934,0.2879633667971189,0.28212415148495784,0.27637567903633836,0.27073604466761136
