iso,co2_1850_2015,fair_share_350,overshoot_350,pct_overshoot_350,fair_share_15C,overshoot_15C,pct_overshoot_15C,fair_share_2C,overshoot_2C,pct_overshoot_2C
CYM,23099038.000000004,9097525.461546633,14001512.53845337,2.539046260176449,22029033.232355453,1070004.7676445507,1.0485724796162623,30248914.921124592,,0.7636319537488133
CYP,374488871.0,132617701.245182,241871169.75481802,2.823822668345378,321124657.49912167,53364213.500878334,1.1661791215799873,440948649.05370027,,0.8492800052878571
CZE,12680892700.0,2431037103.5076466,10249855596.492353,5.216248111434928,5886589421.334216,6794303278.665784,2.154200300439135,8083102908.029495,4597789791.970505,1.5688149519169436
DEU,91322265700.0,18253328292.752968,73068937407.24704,5.0030473476038475,44199181113.78269,47123084586.21731,2.06615288787608,60691599807.95188,30630665892.04812,1.5046936641804398
DJI,41522559.6,55838547.0769861,,0.7436181952003826,135209207.64713663,,0.30709860905600345,185660976.38201207,,0.2236472112188189
DMA,281506.4,10669605.309927732,,0.02638395627793909,25835716.639869217,,0.01089601670137473,35476018.685098,,0.007935118156825448
DNK,4421475420.0,1039378211.233681,3382097208.7663193,4.253962005564816,2516782970.6035666,1904692449.3964334,1.7567964626443957,3455891738.403916,965583681.5960841,1.2794021788547212
DOM,734804990.0,839843259.1627321,,0.8749311040878648,2033622785.0381055,,0.3613280670368922,2792445858.038257,,0.2631402818016366
DZA,2141084640.0,4171760396.331909,,0.5132328888980741,10101631349.828226,,0.2119543433978521,13870939502.543327,,0.1543575789950939
ECU,978356198.0,1300111019.292743,,0.7525174261904366,3148129562.352701,,0.3107738034990028,4322818086.833575,,0.22632370327585008
EGY,5492214490.0,7686429695.3043375,,0.7145338873463202,18612161725.92463,,0.29508740418636964,25557076908.794834,,0.21489994765833298
ERI,35231736.8,386386856.1157187,,0.09118254475366644,935609241.2047472,,0.037656465165557235,1284721124.0778646,,0.02742364559879741
ESP,16527774400.0,7649949834.016319,8877824565.98368,2.1605075534623097,18523828246.67006,,0.8922439886566709,25435782802.490887,,0.6497843816460589
EST,1762083450.0,279694312.4258129,1482389137.574187,6.3000331852203155,677260572.5998778,1084822877.4001222,2.6017806458682338,929972605.8752384,832110844.1247616,1.8947691995095115
ETH,102275042.80000001,6953723786.749878,,0.014707953024375543,16837964678.901981,,0.006074073960266168,23120858534.496246,,0.004423496759318257
FIN,3620703110.0,1010290890.5287806,2610412219.4712195,3.5838223861495417,2446350020.7693715,1174353089.2306285,1.4800429534859845,3359177539.251082,261525570.74891806,1.0778540484071064
FJI,63510486.5,98569972.30920376,,0.6443188022897501,238680419.7350007,,0.26609005703322325,327741287.31614625,,0.19378237944960663
FRA,42648679800.0,13163662789.962587,29485017010.037415,3.2398793922706686,31874905575.730915,10773774224.269085,1.3380017612498303,43768661870.41788,,0.974411324848502
GAB,129556580.7,159434740.25358477,,0.8125994403348803,386060276.0919435,,0.3355864063806063,530114250.71432465,,0.2443936953692974
GBR,79347326700.0,12889784792.507832,66457541907.49217,6.155830215731803,31211728810.461807,48135597889.53819,2.5422278651031887,42858028283.42833,36489298416.57167,1.8513993731877016
GEO,603023013.7,884541494.5988753,,0.6817351332663719,2141856492.9856563,,0.28154221147627484,2941065735.668413,,0.20503554422014697
GHA,366315822.0,1937041147.330835,,0.18911101733939337,4690412133.206226,,0.0780988560486256,6440585751.805829,,0.05687616563404833
GIN,84492745.7,1055594562.4374205,,0.08004280119149348,2556049751.563364,,0.03305598635093916,3509810469.378217,,0.02407330721620657
GMB,18566866.2,128617564.23930623,,0.1443571592248041,311438600.40492904,,0.05961645786957546,427648350.5851751,,0.04341619972249144
GNB,784873.0,121471950.82270579,,0.0064613517333360375,294135988.16325957,,0.002668401799117345,403889466.56648195,,0.0019432866290678727
GNQ,1101016.0,40810620.25194961,,0.026978663720441793,98820114.71835968,,0.011141618314630872,135693709.80025592,,0.008113979650351658
GRC,5140407970.0,1964862056.4901597,3175545913.50984,2.6161673553726867,4757778554.4397335,382629415.5602665,1.0804218630989488,6533089182.29864,,0.7868265420175037
GRD,607574.0,17352113.48124859,,0.03501440908950771,42016951.32876753,,0.014460211433379638,57695095.948294766,,0.010530773716790351
GTM,467915435.0,1220700221.0304174,,0.3833172362375942,2955841767.026076,,0.1583019227280146,4058780300.887407,,0.11528474081183836
GUY,2201811070.0,129548521.59958592,2072262548.400414,16.99603394012825,313692849.72956026,1888118220.2704396,7.019003053140094,430743747.2515898,1771067322.7484102,5.111649522596462
HKG,8090786660.0,658320085.8218637,7432466574.178137,12.290049831761179,1594076884.9061818,6496709775.093819,5.075531008955178,2188888434.6697493,5901898225.330251,3.6962992411354696
HND,268681696.0,626367113.4274268,,0.42895243099497504,1516704956.2729726,,0.17714829432629833,2082646056.1766365,,0.12900977350575416
HRV,1335069690.0,1040804621.4306335,294265068.56936646,1.2827284415444713,2520236924.9524126,,0.5297397545372481,3460634496.296995,,0.3857875460204113
HTI,95908431.1,1036144446.3785871,,0.0925627999408848,2508952631.050291,,0.03822648140624762,3445139597.2431016,,0.027838764843302326
HUN,4842397500.0,2416326621.3486037,2426070878.6513963,2.0040326739012437,5850968998.867112,,0.8276231682201024,8034191132.49686,,0.6027237117142225
IDN,10685207080.0,24915376117.417255,,0.4288599549789833,60330872478.14202,,0.17711010368483016,82842647221.94543,,0.12898196084165495
IND,43211962700.0,132455696280.19606,,0.32623710352622093,320732373600.3223,,0.13472903347713874,440409988906.6776,,0.09811758086430816
IRL,2231270040.0,989032001.0749649,1242238038.925035,2.2560139991171813,2394873079.6780233,,0.9316861335716301,3288492566.6039443,,0.6785084639264526
IRN,15095718290.0,8498891055.359872,6596827234.640128,1.7761985877533755,20579481122.42625,,0.7335325026027802,28258479027.524708,,0.5342013728090695
IRQ,2974587252.0,2918015029.0909696,56572222.90903044,1.0193872280797176,7065773030.26635,,0.420985395265077,9702285388.111435,,0.3065862457153518
ISL,203762399.0,45055638.69778226,158706760.30221772,4.522461669376571,109099135.40486088,94663263.59513912,1.8676811529610107,149808229.44071716,53954169.55928284,1.360154911120112
ISR,2463143070.0,574367982.1528511,1888775087.847149,4.288440767132641,1390792630.3616033,1072350439.6383967,1.771035462964445,1909750986.5727727,553392083.4272273,1.28977185366996
ITA,27362252800.0,12190576543.783506,15171676256.216494,2.244541322695125,29518644046.633446,,0.9269481605175771,40533188312.69029,,0.6750579941779048
JAM,484825500.0,382693540.8853072,102131959.1146928,1.266876621116795,926666131.9722209,,0.5231932874984297,1272440995.9645855,,0.38102002492655745
JOR,695137408.0,435582497.0548731,259554910.9451269,1.5958800289269408,1054733107.7678441,,0.6590647462191979,1448294698.4029522,,0.4799695868296241
JPN,70045678810.0,21328852008.396496,48716826801.6035,3.284081055202841,51646350613.35457,18399328196.64543,1.3562561144811611,70917595393.85333,,0.987705215059662
KAZ,14535013800.0,2306622977.648006,12228390822.351994,6.301425911754731,5585329158.340619,8949684641.659382,2.6023558125119166,7669430824.997527,6865582975.002473,1.895188069579425
KEN,645265518.0,2900275580.861843,,0.22248420883102893,7022818174.441563,,0.09188127927736217,9643302419.336176,,0.0669133342438947
KGZ,517512047.0,624676676.514413,,0.8284478458322264,1512611679.3603241,,0.3421314631253232,2077025419.8203638,,0.24916018940430598
KHM,139853027.288,1897711143.3193014,,0.07369563475470875,4595177229.048953,,0.030434740667650995,6309815032.864625,,0.022164362435281627
KIR,341292.0,8342178.613742421,,0.04091161503516304,20200012.705557708,,0.016895632937205977,27737416.312877238,,0.012304390436017412
KNA,256226.49000000002,10038516.611170273,,0.025524337900172042,24307578.688922655,,0.010541012466896444,33377673.543104604,,0.0076765832606369025
KOR,16697056930.0,6281094817.858833,10415962112.141167,2.6583035942278403,15209239816.149384,1487817113.8506165,1.097823239809187,20884393625.4978,,0.7994992447190101
KWT,2555569080.0,177839491.47017974,2377729588.5298204,14.370087649674367,430626117.41850114,2124942962.5814989,5.934542696388262,591309325.7980276,1964259754.2019725,4.321881912738344
LAO,81394776.3177,808344996.1277727,,0.10069311582010977,1957351903.8966932,,0.04158413014831896,2687715370.310035,,0.03028400150433745
LBN,803550456.0,433891484.1731894,369658971.8268106,1.8519618045309685,1050638436.1866096,,0.7648211109775894,1442672146.9734693,,0.5569875717679447
LBR,25623634.309999995,350598371.6851699,,0.07308543444408662,848949883.5378144,,0.030182740827078107,1165725818.6762545,,0.021980841377517945
LBY,1028636075.0,558924959.6944605,469711115.3055395,1.8403831447468542,1353398411.858799,,0.7600393690334243,1858403543.309947,,0.5535052269476021
LCA,770953.0,15406967.28088477,,0.05003924432010131,37306913.36616755,,0.020665151052114448,51227561.21342071,,0.01504957452079573
LIE,4666659.0,3190807.0476530693,1475851.9523469307,1.4625324973606482,7726320.172214573,,0.6039950320441366,10609308.137926742,,0.43986459242496395
LKA,550817834.0,2438304449.60346,,0.22590199271037675,5904186800.899943,,0.09329275183434944,8107266548.426414,,0.06794125130953187
LSO,52053020.5,248802355.6143946,,0.20921433951644003,602457820.3473406,,0.08640110351624183,827258062.5320661,,0.0629223489713433
LTU,1392032015.0,655888956.6584988,736143058.3415012,2.1223592818087167,1588190072.5682242,,0.8764895581729574,2180805025.666309,,0.6383110817413343
LUX,1295711257.0,81579799.41395628,1214131457.5860438,15.88274629636238,197539882.68293488,1098171374.3170652,6.559238769417039,271249629.6037461,1024461627.3962538,4.7768222168370675
LVA,842418949.0,482014974.15639186,360403974.84360814,1.7477028602158602,1167166162.8280766,,0.7217643689727905,1602680861.4708736,,0.5256311279756988
MAC,155357657.0,107533905.30077483,47823751.69922517,1.4447318412314798,260385967.97430798,,0.5966437370209172,357546012.52046555,,0.4345109484086541
MAR,1417391293.0,3334927853.92195,,0.425014079789797,8075298808.67901,,0.1755218384583669,11088504159.484247,,0.12782529298937706
MCO,5140100.0,4436283.659918796,703816.3400812037,1.158649985896999,10742156.26937003,,0.47849797294946994,14750468.966760695,,0.34847027654394647
MDA,604911944.27,645625210.5257868,,0.9369397824124146,1563337116.0580552,,0.38693634153283696,2146678472.8083138,,0.2817897286120571
MDG,111136521.80000001,1766300477.634429,,0.06292050713185728,4276975325.2791924,,0.02598484053511467,5872879729.651494,,0.018923684276877746
MDV,24619544.13,33487522.435615204,,0.7351855956897012,81087736.18952897,,0.3036161235585113,111344697.12184416,,0.2211110611137494
MEX,17794657000.0,10815791940.546165,6978865059.453835,1.6452477172098248,26189697528.148266,,0.679452558811517,35962083491.49769,,0.4948171872246248
MHL,374405.0,3045175.2432150515,,0.12295023113504255,7373682.757434798,,0.050775848692770485,10125088.106790215,,0.03697794982632416
MKD,617818867.0,391367462.85562027,226451404.14437973,1.5786158166856097,947669438.4368781,,0.6519349911917112,1301281445.9112754,,0.4747772812263124
MLI,68747479.1,1506813643.7461534,,0.04562440709594583,3648645774.4310074,,0.018841916521951465,5010096196.413212,,0.013721788246145282
MLT,148052950.2,79415757.12772155,68637193.07227844,1.8642767575947388,192299802.8786863,,0.7699069264953966,264054273.97888786,,0.5606913607913704
MMR,483631393.0,5665035265.694294,,0.08537129431986461,13717493911.715778,,0.03525654147270604,18836019805.76647,,0.025675880466633442
MNE,23215770.0,96452272.32572994,,0.240696973126748,233552554.63483834,,0.09940276626945091,320700018.0282144,,0.07239092202968798
MNG,346263730.1,326628978.85923254,19634751.24076748,1.060113316673073,790909644.644964,,0.437804409700221,1086028528.7519317,,0.3188348380662962
MOZ,206470434.0,2266073359.7897396,,0.09111374665256097,5487141042.997087,,0.03762805300284854,7534604937.907315,,0.027402954196208428
MRT,73908940.89999999,309366440.23886436,,0.23890419672843083,749109592.6912473,,0.09866238748121633,1028631265.6986693,,0.07185173479030835
MUS,147815475.7,170789741.18930855,,0.8654821693075628,413555631.1776507,,0.3574258565385198,567869182.9413136,,0.26029846334393525
MWI,88827913.7,1101527899.5546815,,0.08064063900325245,2667274173.42468,,0.03330288074058329,3662537011.5985403,,0.024253110185289414
MYS,4117996950.0,2296884744.983876,1821112205.0161238,1.792861813808123,5561748696.610749,,0.740414063028315,7637051583.786885,,0.5392129285524693
NAM,196698483.2,187230626.774024,9467856.425975978,1.0505678829853147,453366106.7235446,,0.433862347191171,622534481.915421,,0.315963997038037
NCL,68097633.4,53701754.67393777,14395878.726062238,1.2680709189759263,130035111.56393711,,0.5236865072901252,178556225.54870954,,0.38137921649460044
NER,65445128.7,1245446265.2317793,,0.05254753298234073,3015762613.8965015,,0.021701021293397474,4141059926.137735,,0.015803955959903016
NGA,2146303438.0,13277674264.380447,,0.16164754423580138,32150976532.546234,,0.0667570216981531,44147745545.893684,,0.048616376928439425
NIC,177420946.0,512956618.2110027,,0.3458790464947634,1242089229.3282783,,0.142840741076186,1705560612.94656,,0.10402500189863326
NLD,11129846200.0,2576858210.2250834,8552987989.774917,4.319153516416346,6239685218.585346,4890160981.414654,1.7837191797510812,8567952361.811633,2561893838.188367,1.2990088798354
NOR,3498301650.0,860084183.6647493,2638217466.335251,4.06739446724159,2082634793.8962517,1415666856.1037483,1.6797480097099882,2859746137.193764,638555512.8062358,1.2232909783498624
NPL,149223699.2,2950373401.5047584,,0.050577902825416084,7144126607.210021,,0.020887605638091562,9809875705.749783,,0.015211578992029096
NRU,911840.0,803451.3302447587,108388.66975524125,1.1349038400648641,1945502.2279798056,,0.4686913162504304,2671444.123411812,,0.34132849420614175
NZL,1840762700.0,519615954.13647896,1321146745.863521,3.542544614626127,1258214354.0149636,582548345.9850364,1.4629961056525256,1727702643.402243,113060056.5977571,1.0654395344184435
OMN,648062027.54,248536174.51455718,399525853.0254428,2.6075159030905657,601813281.0911517,46248746.44884825,1.0768489960291243,826373020.827415,,0.7842245707527102
PAK,3843256140.0,14390864678.521929,,0.26706221105226435,34846490684.247574,,0.11029105268661535,47849059960.5337,,0.0803204105403523
PAN,420695331.0,311034148.00985867,109661182.99014133,1.3525695930553112,753147832.5471703,,0.5585826750336581,1034176328.5502471,,0.4067926516842141
PER,1917855766.0,2843428031.804974,,0.6744871839722871,6885165737.782284,,0.2785489614978742,9454286550.992197,,0.20285568410222632
PHL,2929041000.0,7576631177.451099,,0.3865888323450603,18346292154.15196,,0.15965302282276844,25192001148.46346,,0.11626869111105338
PLW,1086404.0,1846458.4369844205,,0.5883717598183699,4471072.319876508,,0.2429851101200722,6139401.796874887,,0.1769560025462102
PNG,157722237.0,669152146.9868456,,0.23570459679493572,1620305977.2441907,,0.09734102028571992,2224904612.693641,,0.07088943773146719
POL,25009830100.0,7854369832.363629,17155460267.636372,3.184193084077599,19018817236.366753,5991012863.633247,1.3150044920867927,26115471269.90112,,0.9576633651955037
PRK,4477098576.0,3057744258.1141014,1419354317.8858986,1.4641834627338328,7404117763.973606,,0.6046768458741062,10166879587.773777,,0.44036112922827897
PRT,3026137890.0,2059576328.4773495,966561561.5226505,1.4693011607087327,4987122660.592907,,0.606790347049581,6848010417.44841,,0.4419003046913513
PRY,256830810.9,529831386.356701,,0.48474065054177917,1282950321.7034662,,0.20018765072601338,1761668554.3983831,,0.14578838355192686
PYF,54447859.1,58189295.409401484,,0.9357023266379508,140901383.3222217,,0.3864252984336242,193477122.2789118,,0.28141755706656274
QAT,992093526.0,61059787.822699495,931033738.1773005,16.247903266234097,147852083.60143977,844241442.3985603,6.710040885689209,203021396.8356134,789072129.1643866,4.88664515890066
ROU,7996723390.0,4446062825.286245,3550660564.7137547,1.7986078254495104,10765835846.830383,,0.7427870444777728,14782984307.602543,,0.5409410727634658
RUS,105137136100.0,26981708402.72652,78155427697.27348,3.8966078252248777,65334354224.31217,39802781875.68783,1.6092167336503105,89713120930.56937,15424015169.430634,1.1719259681241896
RWA,55723715.2,939034795.0671929,,0.05934148073396223,2273808278.339958,,0.024506778223484293,3122253819.901286,,0.017847272647987914
SAU,8695173270.0,2385881217.4065685,6309292052.593431,3.644428400945951,5777247543.725665,2917925726.274335,1.5050719575697125,7932961359.909301,762211910.0906992,1.096081636542777
SDN,37223860.0,1554340673.8640695,,0.02394832781893431,3763729214.4640226,,0.009890153589410363,5168121705.280121,,0.007202589668499767
SEN,225428956.0,1101514526.0118692,,0.2046536388550276,2667241790.3090415,,0.0845176304671953,3662492545.0938373,,0.06155069347567075
SGP,3373299609.0,379339764.2953152,2993959844.7046847,8.892554713493979,918545192.2433785,2454754416.7566214,3.6724372817861397,1261289820.497814,2112009788.502186,2.6744841305930818
SLB,420238.0,23208451.99052797,,0.01810711029634855,56197672.90917254,,0.007477854121810248,77167191.52695131,,0.005445811771615768
SLE,50985914.099999994,688365861.6345383,,0.07406804570309884,1666830667.9724605,,0.030588538523843856,2288789459.419645,,0.02227636705078509
SLV,292288121.0,679971901.7942088,,0.4298532339773946,1646505270.5822296,,0.1775203069326601,2260879872.561693,,0.12928069489548885
SMR,1670938.0,2980267.091031656,,0.5606671982616109,7216512.123778148,,0.2315437113303419,9909271.049571544,,0.1686237051788232
SOM,44663585.9,1023271058.8467939,,0.04364785411827729,2477780607.080747,,0.018025641887891523,3402336089.207666,,0.01312732920233087
SRB,1947680240.0,1721357844.320588,226322395.6794119,1.1314789928347178,4168149824.65214,,0.46727692667874454,5723447238.674926,,0.3402984527993868
SSD,4622524.0,598273069.8064184,,0.0077264450520824835,1448677158.695012,,0.0031908586204009953,1989234464.324079,,0.0023237703161204204
STP,5828235.66,19466350.41900335,,0.29940053140676987,47136430.90150786,,0.12364609599267642,64724850.74519647,,0.09004633603473455
SUR,111670341.0,70398485.03049749,41271855.96950251,1.5862605701191301,170465097.65751842,,0.655092112899011,234072198.34277418,,0.4770764823444367
SVK,4199276770.0,1048392582.7319273,3150884187.2680726,4.005443036479161,2538610652.223477,1660666117.776523,1.6541633772481046,3485864169.6623282,713412600.3376718,1.204658749054694
SVN,837761260.0,419161629.46595716,418599630.53404284,1.998659230968659,1014971104.4242624,,0.8254040497785562,1393695958.4788184,,0.6011076195660306
SWE,6015410990.0,1839104631.5915875,4176306358.4084125,3.2708367358056063,4453265585.059692,1562145404.9403076,1.3507864902962818,6114950682.710432,,0.9837219140635307
SWZ,91614634.49999999,101147416.5407412,,0.9057535786205523,244921523.96395537,,0.3740570980339104,336311188.17580986,,0.27241030843168845
SYC,21086500.900000002,10894829.64256264,10191671.257437361,1.9354594419376452,26381081.89653385,,0.7993038717176534,36224880.74707701,,0.5820999397410431
SYR,1415349306.0,1591321228.550945,,0.8894177244708884,3853275088.4043007,,0.36731073529092817,5291080597.474211,,0.26749721156688516
TCD,39079051.599999994,950788949.2097706,,0.04110170993518569,2302270155.5085936,,0.01697413811602273,3161335920.867252,,0.012361562509712478
TGO,58569974.0,554801164.1177344,,0.10556930624531072,1343412924.0261886,,0.04359789380651978,1844692084.9491272,,0.0317505422600733
THA,5610622820.0,6987456414.123203,,0.8029563960727804,16919645919.868284,,0.33160403276593375,23233018195.91128,,0.2414934974306265
TJK,251955529.3,681299142.8958062,,0.36981630158682377,1649719093.7760222,,0.15272632186325857,2265292897.106855,,0.11122426138438342
TKM,2050269128.0,499415266.1484866,1550853861.8515134,4.105339317742065,1209299775.1127274,840969352.8872726,1.6954184315538137,1660536149.0758748,389732978.9241252,1.2347030982378915
TLS,779683.7,121159910.52776794,,0.006435162394918646,293380404.0150124,,0.0026575861554819567,402851944.8389053,,0.0019354100432896863
TON,556859.0,8741253.20865619,,0.06370470992060497,21166344.43507063,,0.02630869972414024,29064323.67024083,,0.01915953752504387
TTO,692545560.0,215005118.58007163,477540441.4199284,3.2210654545049078,520620131.52329385,171925428.47670615,1.3302320023116774,714883576.5312855,,0.9687529308762797
TUN,816507658.0,1130981903.0164597,,0.72194582054963,2738595020.376739,,0.2981483760558638,3760470416.5192204,,0.21712912682764265
TUR,10486967920.0,7835304790.277494,2651663129.7225056,1.338425013537807,18972652546.037838,,0.5527412624330197,26052080753.604275,,0.4025385925670885
TUV,61005.4,1236422.7768240445,,0.04934024279033618,2993912.856306269,,0.0203764781835585,4111057.1815132736,,0.014839346014044984
TWN,439476726.0,1318139817.147513,,0.33340676025631216,3191785058.4280734,,0.13768995028018538,4382763131.752018,,0.10027389406835645
TZA,279661058.0,3456633603.861314,,0.08090561223717725,8370000925.349667,,0.03341230908983643,11493170998.932873,,0.024332802324612258
UGA,181196150.7,2412342687.7476616,,0.07511211057214176,5841322177.205374,,0.0310197152636235,8020944709.713468,,0.022590375231058394
UKR,30227247800.0,9548624701.590385,20678623098.409615,3.165612718548406,23121339067.82873,7105908732.171268,1.3073311935491878,31748802180.659412,,0.952075219342092
URY,468701408.0,507372979.01590556,,0.9237807833382998,1228568830.4125311,,0.3815019528394014,1686995231.879296,,0.27783208816652744
USA,420410197000.0,41186398836.36355,379223798163.6365,10.207500749709126,99730036758.04527,320680160241.9547,4.2154822224718105,136943158837.48734,283467038162.5127,3.069961293202734
UZB,5277909848.0,2704227543.119086,2573682304.880914,1.9517254978892793,6548101312.496219,,0.8060214092790196,8991450392.188795,,0.5869920444186753
VAT,153456.5,259335.91856583097,,0.591728677032626,627964.1197573398,,0.24437144602990887,862281.7457172452,,0.17796561363171967
VCT,375552.4,14126184.538656708,,0.026585551036253995,34205585.89956954,,0.010979271078783836,46969008.88885104,,0.007995748875364162
